sort,nom,type,Type,kingdom,class,data,Progiciel_R,description,Acces,country,link,license,commentaire
1,eBird,donnees,vivant,animalia,aves,Occurence,auk,"eBird Québec géré par QuébecOiseaux, ","Connection au portail, accès complet ou seulement statut et tendances https://science.ebird.org/en/use-ebird-data",World,https://ebird.org,free to use for any non-commercial purposes,commercial purpose requires you to obtain an explicit permission
2,Oiseaux du Québec,donnees,vivant,animalia,aves,,,"Listes annotée, régionales, d’oiseaux du Québec, dates records, liste des noms français. Oiseaux rates…",,Québec,https://www.oiseauxqc.org/francais.jsp,,
3,Dendroica,Reference,vivant,animalia,aves,,,"Site d’information, permet de faire des listes ",,America,https://www.natureinstruct.org/dendroica/,,
4,Xeno-canto,donnees,vivant,animalia,All,Sons,,Sons des êtres vivants dans la nature.,,,https://xeno-canto.org/,"BY-NC-ND, BY-NC-SA, BY-SA",
5,Macaulay Library media,donnees,vivant,animalia,aves,"Médias, sons, photos, vidéos",,,,World,https://www.macaulaylibrary.org/,"no charge for research requests, but licensing fees may apply",
6,Biodiversité Québec,Reference,vivant,All,All,,,Points d’inventaires dans le cadre du Réseau de suivi de la biodiversité du Québec,,Québec,https://biodiversite-quebec.ca/fr/inventaires/,,
7,Association forestière du sud du Québec,Reference,vivant,plantae,,,,Information sur les espèces d’arbres,,Québec,https://www.afsq.org/fr/decouvrir-les-especes,,
8,National Center for Biotechnology Information (NCBI),donnees,vivant,All,All,Génétique,,,,,https://www.ncbi.nlm.nih.gov/,,
9,International Barcode of Life,donnees,vivant,All,All,Génétique,,,,,https://www.ibol.org/phase1/bold/,,
10,GenBank,donnees,vivant,All,All,,,,,,,,
11,taxize,donnees,vivant,All,All,,taxize,taxonomic data sources,,,https://docs.ropensci.org/taxize/,,
12,IUCN Red List of Threatened Species,donnees,vivant,"plantae, animalia, fungi",,,rredlist,Source d’information sur les risques d’extinction globales,,,https://www.iucnredlist.org/,"https://www.iucnredlist.org/terms/terms-of-use, no commercial use without written permission",
13,Flore laurentienne,Reference,vivant,plantae,,,,Référence,,Québec,https://www.florelaurentienne.com/,,
14,Flora of Québec,Reference,vivant,plantae,,,,Référence,,Québec,floreduquebec.ca/english/,,
15,Flora Quebeca,Reference,vivant,plantae,,,,,,Québec,https://floraquebeca.qc.ca/flore-vasculaire/,,
16,Fiche des espèces fauniques,Reference,vivant,animalia,All,,,,,Québec,https://www.quebec.ca/agriculture-environnement-et-ressources-naturelles/faune/animaux-sauvages-quebec/fiches-especes-fauniques,,
17,Global Biodiversity Information Facility (GBIF),donnees,vivant,All,All,,rgbif,,,World,https://www.gbif.org/,,
18,iNaturalist,donnees,vivant,All,All,,rinat,,,World,https://www.inaturalist.org/,,
19,iNaturalist (projet CDPNQ),donnees,vivant,All,All,,rinat,,,Québec,https://www.inaturalist.org/projects/centre-de-donnees-sur-le-patrimoine-naturel-du-quebec,,
20,iSpot,donnees,vivant,All,All,,,,,World,https://www.ispotnature.org/,,
21,observation.org,donnees,vivant,All,All,,,,,World,https://observation.org/,,
22,Base de données sur la biodiversité des poissons,donnees,vivant,animalia,,,,,,Canada,https://ouvert.canada.ca/data/fr/dataset/02bf1fca-2fda-11e9-a466-1860247f53e3,,
23,Avibase,donnees,vivant,animalia,aves,,,"Information sur la distribution, la taxinomie, listes, cartes, etc.",,World,https://avibase.bsc-eoc.org/avibase.jsp?lang=EN,,
24,Open Traits,donnees,vivant,All,All,Traits,,Intégrations de données sur les traits des organismes,,World,https://opentraits.org/,,
25,VertNet,donnees,vivant,animalia,,,rvertnet,,,,https://vertnet.org/,,
26,Liste de la faune vertébrée du Québec (LFVQ),donnees,vivant,animalia,multiple,,,,,Québec,"https://www.donneesquebec.ca/recherche/dataset/liste-de-la-faune-vertebree-du-quebec, voir aussi https://www.quebec.ca/agriculture-environnement-et-ressources-naturelles/faune/animaux-sauvages-quebec",CC-BY 4.0,
27,Liste des espèces floristiques menacées ou vulnérables,donnees,vivant,plantae,,,,,,,https://www.quebec.ca/agriculture-environnement-et-ressources-naturelles/flore/especes-floristiques-menacees-ou-vulnerables/liste-especes,,
28,Chauves-souris aux abris,portail,vivant,animalia,,,,,,Québec,https://chauve-souris.ca/,,
29,Carapace (tortues),portail,vivant,animalia,,,,,,Québec,https://carapace.ca/,,
30,Occurrences d'espèces en situation précaire (CDPNQ),donnees,vivant,animalia,,,,,,Québec,https://www.donneesquebec.ca/recherche/dataset/occurrences-especes-en-situation-precaire,CC-BY 4.0,
31,Liste des espèces suivies (CDPNQ),donnees,vivant,animalia,,,,,,Québec,https://cdn-contenu.quebec.ca/cdn-contenu/faune/documents/precaire/liste-especes-suivies-CDPNQ.xlsx,,
32,Potentiel (inventaires espèce floristique en situation précaire),donnees,vivant,plantae,,,,,,Québec,https://www.quebec.ca/agriculture-environnement-et-ressources-naturelles/flore/especes-floristiques-menacees-ou-vulnerables/reperer-signaler-presence-espece,,
